식품명,칼로리,탄수화물,단백질,지방,섭취량
미역국,152,33.72,9.52,1.04,400g
미역나물,30,1.00,1.00,2.00,1 package
미역나물,N/A,N/A,N/A,N/A,N/A
미역나물,152,33.72,9.52,1.04,400g
미트볼,1362,51.11,83.71,88.80,675g
미트볼,971,1.34,92.73,63.12,514g
미트볼,1275,51.11,97.23,72.80,715g
밀감,31,5.13,2.57,0.82,136g
밀감,0,0.00,0.00,0.00,1 softgel
밀감,15,4.00,0.00,0.00,1 bottle
밀크초콜렛,150,19.00,2.00,9.00,4 blocks
밀크초콜렛,210,26.00,3.00,10.00,10 squares
밀크초콜렛,180,19.00,2.00,10.00,4 pieces
바게트빵,150,31.00,5.00,0.00,2 slices
바게트빵,N/A,N/A,N/A,N/A,N/A
바게트빵,410,85.00,13.00,2.00,1 slice
바나나,89,22.84,1.09,0.33,100g
바나나,89,22.84,1.09,0.33,100g
바나나,110,29.00,1.00,0.30,1 medium
바나나우유,160,25.00,4.00,5.00,1 carton
바나나우유,60,9.00,1.00,3.00,1 cup
바나나우유,150,25.00,7.00,2.00,1 cup
바나나칩,N/A,N/A,N/A,N/A,N/A
바나나칩,519,58.40,2.30,33.60,100g
바나나칩,N/A,N/A,N/A,N/A,N/A
바닐라아이스크림,278,32.60,4.80,14.40,100g
바닐라아이스크림,435,74.74,3.00,13.68,100g
바닐라아이스크림,384,82.28,1.05,5.44,100g
바람떡,15,2.00,0.00,0.00,1 can
바람떡,1987,288.57,50.76,75.11,660g
바람떡,1265,257.98,48.39,6.57,416g
바베큐치킨,354,5.34,53.11,11.82,223g
바베큐치킨,492,6.01,59.65,23.82,259g
